id,employee_id,name,role,department,email,phone,joining_date,notice_period_days,previous_hospital,previous_experience_years,current_salary,status,last_updated
1,EMP0001,James Taylor,Receptionist,Cardiology,employee1@healthcare.com,+1-527-199-8606,2025-01-21,30,Metro Clinic,10,118467,On Leave,2025-12-12T07:51:19.426121
2,EMP0002,James Anderson,Doctor,Cardiology,employee2@healthcare.com,+1-259-991-4075,2021-05-19,90,Metro Clinic,1,44341,On Leave,2025-12-12T07:51:19.426121
3,EMP0003,John Wilson,Doctor,Orthopedics,employee3@healthcare.com,+1-937-663-9277,2024-04-09,90,General Medical Center,13,43562,Active,2025-12-12T07:51:19.426121
4,EMP0004,David Smith,Receptionist,Pediatrics,employee4@healthcare.com,+1-980-351-2482,2023-04-14,30,General Medical Center,2,41892,Active,2025-12-12T07:51:19.426121
5,EMP0005,Jessica Anderson,Lab Technician,Neurology,employee5@healthcare.com,+1-205-118-5013,2024-12-27,30,Central Hospital,15,127432,Active,2025-12-12T07:51:19.426121
6,EMP0006,Jessica Williams,Lab Technician,Neurology,employee6@healthcare.com,+1-947-388-9861,2021-07-08,60,General Medical Center,8,52818,Active,2025-12-12T07:51:19.426121
7,EMP0007,Emily Johnson,Lab Technician,Cardiology,employee7@healthcare.com,+1-776-659-5249,2023-09-03,30,Central Hospital,9,60315,Active,2025-12-12T07:51:19.426121
8,EMP0008,Sarah Taylor,Pharmacist,Neurology,employee8@healthcare.com,+1-387-202-8641,2021-04-24,90,Care Hospital,15,111972,Active,2025-12-12T07:51:19.426121
9,EMP0009,Michael Johnson,Receptionist,Pediatrics,employee9@healthcare.com,+1-544-135-1538,2023-06-17,90,General Medical Center,7,56491,Active,2025-12-12T07:51:19.426121
10,EMP0010,David Anderson,Lab Technician,Emergency,employee10@healthcare.com,+1-607-254-9957,2022-01-20,30,City Hospital,3,142780,On Leave,2025-12-12T07:51:19.426121
11,EMP0011,David Miller,Nurse,Orthopedics,employee11@healthcare.com,+1-802-214-4091,2023-01-22,30,Central Hospital,11,108441,Active,2025-12-12T07:51:19.426121
